"Adverse Events Category","AE/Supra-ordinate Term","Select AE","Grade","Description"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Larynx",5,"Death"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Pharynx",1,"Asymptomatic obstruction or stenosis on exam, endoscopy, or radiograph"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Pharynx",2,"Symptomatic (e.g., noisy airway breathing), but causing no respiratory distress; medical management indicated (e.g., steroids)"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Pharynx",3,"Interfering with ADL; stridor or endoscopic intervention indicated (e.g., stent, laser)"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Pharynx",4,"Life-threatening airway compromise; tracheotomy or intubation indicated"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Pharynx",5,"Death"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Trachea",1,"Asymptomatic obstruction or stenosis on exam, endoscopy, or radiograph"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Trachea",2,"Symptomatic (e.g., noisy airway breathing), but causing no respiratory distress; medical management indicated (e.g., steroids)"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Trachea",3,"Interfering with ADL; stridor or endoscopic intervention indicated (e.g., stent, laser)"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Trachea",4,"Life-threatening airway compromise; tracheotomy or intubation indicated"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Trachea",5,"Death"
"PULMONARY/UPPER RESPIRATORY","Pleural effusion (non-malignant)",,1,"Asymptomatic"
"PULMONARY/UPPER RESPIRATORY","Pleural effusion (non-malignant)",,2,"Symptomatic, intervention such as diuretics or up to 2 therapeutic thoracenteses indicated"
"PULMONARY/UPPER RESPIRATORY","Pleural effusion (non-malignant)",,3,"Symptomatic and supplemental oxygen, >2 therapeutic thoracenteses, tube drainage, or pleurodesis indicated"
"PULMONARY/UPPER RESPIRATORY","Pleural effusion (non-malignant)",,4,"Life-threatening (e.g., causing hemodynamic instability or ventilatory support indicated)"
"PULMONARY/UPPER RESPIRATORY","Pleural effusion (non-malignant)",,5,"Death"
"PULMONARY/UPPER RESPIRATORY","Pneumonitis/pulmonary infiltrates",,1,"Asymptomatic, radiographic findings only"
"PULMONARY/UPPER RESPIRATORY","Pneumonitis/pulmonary infiltrates",,2,"Symptomatic, not interfering with ADL"
"PULMONARY/UPPER RESPIRATORY","Pneumonitis/pulmonary infiltrates",,3,"Symptomatic, interfering with ADL; O(2) indicated"
"PULMONARY/UPPER RESPIRATORY","Pneumonitis/pulmonary infiltrates",,4,"Life-threatening; ventilatory support indicated"
"PULMONARY/UPPER RESPIRATORY","Pneumonitis/pulmonary infiltrates",,5,"Death"
"PULMONARY/UPPER RESPIRATORY","Pneumothorax",,1,"Asymptomatic, radiographic findings only"
"PULMONARY/UPPER RESPIRATORY","Pneumothorax",,2,"Symptomatic; intervention indicated (e.g., hospitalization for observation, tube placement without sclerosis)"
"PULMONARY/UPPER RESPIRATORY","Pneumothorax",,3,"Sclerosis and/or operative intervention indicated"
"PULMONARY/UPPER RESPIRATORY","Pneumothorax",,4,"Life-threatening, causing hemodynamic instability (e.g., tension pneumothorax); ventilatory support indicated"
"PULMONARY/UPPER RESPIRATORY","Pneumothorax",,5,"Death"
"PULMONARY/UPPER RESPIRATORY","Prolonged chest tube drainage or air leak after pulmonary resection",,2,"Sclerosis or additional tube thoracostomy indicated"
"PULMONARY/UPPER RESPIRATORY","Prolonged chest tube drainage or air leak after pulmonary resection",,3,"Operative intervention indicated (e.g., thoracotomy with stapling or sealant application)"
"PULMONARY/UPPER RESPIRATORY","Prolonged chest tube drainage or air leak after pulmonary resection",,4,"Life-threatening; debilitating; organ resection indicated"
"PULMONARY/UPPER RESPIRATORY","Prolonged chest tube drainage or air leak after pulmonary resection",,5,"Death"
"PULMONARY/UPPER RESPIRATORY","Prolonged intubation after pulmonary resection (>24 hrs after surgery)",,2,"Extubated within 24 - 72 hrs postoperatively"
"PULMONARY/UPPER RESPIRATORY","Prolonged intubation after pulmonary resection (>24 hrs after surgery)",,3,"Extubated >72 hrs postoperatively, but before tracheostomy indicated"
"PULMONARY/UPPER RESPIRATORY","Prolonged intubation after pulmonary resection (>24 hrs after surgery)",,4,"Tracheostomy indicated"
"PULMONARY/UPPER RESPIRATORY","Prolonged intubation after pulmonary resection (>24 hrs after surgery)",,5,"Death"
"PULMONARY/UPPER RESPIRATORY","Pulmonary fibrosis (radiographic changes)",,1,"Minimal radiographic findings (or patchy or bi-basilar changes) with estimated radiographic proportion of total lung volume that is fibrotic of <25%"
"PULMONARY/UPPER RESPIRATORY","Pulmonary fibrosis (radiographic changes)",,2,"Patchy or bi-basilar changes with estimated radiographic proportion of total lung volume that is fibrotic of 25 - <50%"
"PULMONARY/UPPER RESPIRATORY","Pulmonary fibrosis (radiographic changes)",,3,"Dense or widespread infiltrates/consolidation with estimated radiographic proportion of total lung volume that is fibrotic of 50 - <75%"
"PULMONARY/UPPER RESPIRATORY","Pulmonary fibrosis (radiographic changes)",,4,"Estimated radiographic proportion of total lung volume that is fibrotic is >=75%; honeycombing"
"PULMONARY/UPPER RESPIRATORY","Pulmonary fibrosis (radiographic changes)",,5,"Death"
"PULMONARY/UPPER RESPIRATORY","Pulmonary/Upper Respiratory - Other (Specify, __)",,1,"Mild"
"PULMONARY/UPPER RESPIRATORY","Pulmonary/Upper Respiratory - Other (Specify, __)",,2,"Moderate"
"PULMONARY/UPPER RESPIRATORY","Pulmonary/Upper Respiratory - Other (Specify, __)",,3,"Severe"
"PULMONARY/UPPER RESPIRATORY","Pulmonary/Upper Respiratory - Other (Specify, __)",,4,"Life-threatening; disabling"
"PULMONARY/UPPER RESPIRATORY","Pulmonary/Upper Respiratory - Other (Specify, __)",,5,"Death"
"PULMONARY/UPPER RESPIRATORY","Vital capacity",,1,"90 - 75% of predicted value"
"PULMONARY/UPPER RESPIRATORY","Vital capacity",,2,"<75 - 50% of predicted value"
"PULMONARY/UPPER RESPIRATORY","Vital capacity",,3,"<50 - 25% of predicted value"
"PULMONARY/UPPER RESPIRATORY","Vital capacity",,4,"<25% of predicted value"
"PULMONARY/UPPER RESPIRATORY","Vital capacity",,5,"Death"
"PULMONARY/UPPER RESPIRATORY","Voice changes/dysarthria (e.g., hoarseness, loss or alteration in voice, laryngitis)",,1,"Mild or intermittent hoarseness or voice change, but fully understandable"
"PULMONARY/UPPER RESPIRATORY","Voice changes/dysarthria (e.g., hoarseness, loss or alteration in voice, laryngitis)",,2,"Moderate or persistent voice changes, may require occasional repetition but understandable on telephone"
"PULMONARY/UPPER RESPIRATORY","Voice changes/dysarthria (e.g., hoarseness, loss or alteration in voice, laryngitis)",,3,"Severe voice changes including predominantly whispered speech; may require frequent repetition or face-to-face contact for understandability; requires voice aid (e.g., electrolarynx) for <=50% of communication"
"PULMONARY/UPPER RESPIRATORY","Voice changes/dysarthria (e.g., hoarseness, loss or alteration in voice, laryngitis)",,4,"Disabling; non-understandable voice or aphonic; requires voice aid (e.g., electrolarynx) for >50% of communication or requires >50% written communication"
"PULMONARY/UPPER RESPIRATORY","Voice changes/dysarthria (e.g., hoarseness, loss or alteration in voice, laryngitis)",,5,"Death"
"RENAL/GENITOURINARY","Bladder spasms",,1,"Symptomatic, intervention not indicated"
"RENAL/GENITOURINARY","Bladder spasms",,2,"Symptomatic, antispasmodics indicated"
"RENAL/GENITOURINARY","Bladder spasms",,3,"Narcotics indicated"
"RENAL/GENITOURINARY","Bladder spasms",,4,"Major surgical intervention indicated (e.g., cystectomy)"
"RENAL/GENITOURINARY","Cystitis",,1,"Asymptomatic"
"RENAL/GENITOURINARY","Cystitis",,2,"Frequency with dysuria; macroscopic hematuria"
"RENAL/GENITOURINARY","Cystitis",,3,"Transfusion; IV pain medications; bladder irrigation indicated"
"RENAL/GENITOURINARY","Cystitis",,4,"Catastrophic bleeding; major non-elective intervention indicated"
"RENAL/GENITOURINARY","Cystitis",,5,"Death"
"RENAL/GENITOURINARY","Fistula, GU","Bladder",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Fistula, GU","Bladder",2,"Symptomatic; noninvasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Bladder",3,"Symptomatic interfering with ADL; invasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Bladder",4,"Life-threatening consequences; operative intervention requiring partial or full organ resection; permanent urinary diversion"
"RENAL/GENITOURINARY","Fistula, GU","Bladder",5,"Death"
"RENAL/GENITOURINARY","Fistula, GU","Genital tract-female",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Fistula, GU","Genital tract-female",2,"Symptomatic; noninvasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Genital tract-female",3,"Symptomatic interfering with ADL; invasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Genital tract-female",4,"Life-threatening consequences; operative intervention requiring partial or full organ resection; permanent urinary diversion"
"RENAL/GENITOURINARY","Fistula, GU","Genital tract-female",5,"Death"
"RENAL/GENITOURINARY","Fistula, GU","Kidney",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Fistula, GU","Kidney",2,"Symptomatic; noninvasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Kidney",3,"Symptomatic interfering with ADL; invasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Kidney",4,"Life-threatening consequences; operative intervention requiring partial or full organ resection; permanent urinary diversion"
"RENAL/GENITOURINARY","Fistula, GU","Kidney",5,"Death"
"RENAL/GENITOURINARY","Fistula, GU","Ureter",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Fistula, GU","Ureter",2,"Symptomatic; noninvasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Ureter",3,"Symptomatic interfering with ADL; invasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Ureter",4,"Life-threatening consequences; operative intervention requiring partial or full organ resection; permanent urinary diversion"
"RENAL/GENITOURINARY","Fistula, GU","Ureter",5,"Death"
"RENAL/GENITOURINARY","Fistula, GU","Urethra",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Fistula, GU","Urethra",2,"Symptomatic; noninvasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Urethra",3,"Symptomatic interfering with ADL; invasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Urethra",4,"Life-threatening consequences; operative intervention requiring partial or full organ resection; permanent urinary diversion"
"RENAL/GENITOURINARY","Fistula, GU","Urethra",5,"Death"
"RENAL/GENITOURINARY","Fistula, GU","Uterus",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Fistula, GU","Uterus",2,"Symptomatic; noninvasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Uterus",3,"Symptomatic interfering with ADL; invasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Uterus",4,"Life-threatening consequences; operative intervention requiring partial or full organ resection; permanent urinary diversion"
"RENAL/GENITOURINARY","Fistula, GU","Uterus",5,"Death"
"RENAL/GENITOURINARY","Fistula, GU","Vagina",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Fistula, GU","Vagina",2,"Symptomatic; noninvasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Vagina",3,"Symptomatic interfering with ADL; invasive intervention indicated"
"RENAL/GENITOURINARY","Fistula, GU","Vagina",4,"Life-threatening consequences; operative intervention requiring partial or full organ resection; permanent urinary diversion"
"RENAL/GENITOURINARY","Fistula, GU","Vagina",5,"Death"
"RENAL/GENITOURINARY","Incontinence, urinary",,1,"Occasional (e.g., with coughing, sneezing, etc.), pads not indicated"
"RENAL/GENITOURINARY","Incontinence, urinary",,2,"Spontaneous, pads indicated"
"RENAL/GENITOURINARY","Incontinence, urinary",,3,"Interfering with ADL; intervention indicated (e.g., clamp, collagen injections)"
"RENAL/GENITOURINARY","Incontinence, urinary",,4,"Operative intervention indicated (e.g., cystectomy or permanent urinary diversion)"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Bladder",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Bladder",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Bladder",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Bladder",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Bladder",5,"Death"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Fallopian tube",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Fallopian tube",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Fallopian tube",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Fallopian tube",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Fallopian tube",5,"Death"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Kidney",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Kidney",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Kidney",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Kidney",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Kidney",5,"Death"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Spermatic cord",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Spermatic cord",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Spermatic cord",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Spermatic cord",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Spermatic cord",5,"Death"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Stoma",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Stoma",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Stoma",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Stoma",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Stoma",5,"Death"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Ureter",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Ureter",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Ureter",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Ureter",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Ureter",5,"Death"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Urethra",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Urethra",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Urethra",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Urethra",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Urethra",5,"Death"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Uterus",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Uterus",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Uterus",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Uterus",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Uterus",5,"Death"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vagina",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vagina",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vagina",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vagina",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vagina",5,"Death"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vas deferens",1,"Asymptomatic, radiographic findings only"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vas deferens",2,"Symptomatic; medical intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vas deferens",3,"Symptomatic, interfering with GU function; invasive or endoscopic intervention indicated"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vas deferens",4,"Life-threatening"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vas deferens",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Bladder",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Bladder",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Bladder",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Bladder",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Bladder",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Fallopian tube",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Fallopian tube",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Fallopian tube",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Fallopian tube",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Fallopian tube",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Prostate",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Prostate",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Prostate",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Prostate",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Prostate",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Spermatic cord",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Spermatic cord",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Spermatic cord",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Spermatic cord",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Spermatic cord",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Stoma",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Stoma",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Stoma",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Stoma",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Stoma",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Testes",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Testes",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Testes",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Testes",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Testes",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Ureter",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Ureter",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Ureter",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Ureter",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Ureter",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Urethra",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Urethra",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Urethra",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Urethra",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Urethra",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Uterus",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Uterus",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Uterus",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Uterus",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Uterus",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Vagina",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Vagina",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Vagina",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Vagina",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Vagina",5,"Death"
"RENAL/GENITOURINARY","Obstruction, GU","Vas deferens",1,"Asymptomatic, radiographic or endoscopic findings only"
"RENAL/GENITOURINARY","Obstruction, GU","Vas deferens",2,"Symptomatic but no hydronephrosis, sepsis or renal dysfunction; dilation or endoscopic repair or stent placement indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Vas deferens",3,"Symptomatic and altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); operative intervention indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Vas deferens",4,"Life-threatening consequences; organ failure or operative intervention requiring complete organ resection indicated"
"RENAL/GENITOURINARY","Obstruction, GU","Vas deferens",5,"Death"
"RENAL/GENITOURINARY","Perforation, GU","Bladder",1,"Asymptomatic radiographic findings only"
"RENAL/GENITOURINARY","Perforation, GU","Bladder",2,"Symptomatic, associated with altered renal/GU function"
"RENAL/GENITOURINARY","Perforation, GU","Bladder",3,"Symptomatic, operative intervention indicated"
"RENAL/GENITOURINARY","Perforation, GU","Bladder",4,"Life-threatening consequences or organ failure; operative intervention requiring organ resection indicated"
"RENAL/GENITOURINARY","Perforation, GU","Bladder",5,"Death"
"RENAL/GENITOURINARY","Perforation, GU","Fallopian tube",1,"Asymptomatic radiographic findings only"
"RENAL/GENITOURINARY","Perforation, GU","Fallopian tube",2,"Symptomatic, associated with altered renal/GU function"
"RENAL/GENITOURINARY","Perforation, GU","Fallopian tube",3,"Symptomatic, operative intervention indicated"
"RENAL/GENITOURINARY","Perforation, GU","Fallopian tube",4,"Life-threatening consequences or organ failure; operative intervention requiring organ resection indicated"
"RENAL/GENITOURINARY","Perforation, GU","Fallopian tube",5,"Death"
"RENAL/GENITOURINARY","Perforation, GU","Kidney",1,"Asymptomatic radiographic findings only"
"RENAL/GENITOURINARY","Perforation, GU","Kidney",2,"Symptomatic, associated with altered renal/GU function"
"RENAL/GENITOURINARY","Perforation, GU","Kidney",3,"Symptomatic, operative intervention indicated"
"RENAL/GENITOURINARY","Perforation, GU","Kidney",4,"Life-threatening consequences or organ failure; operative intervention requiring organ resection indicated"
"RENAL/GENITOURINARY","Perforation, GU","Kidney",5,"Death"
"RENAL/GENITOURINARY","Perforation, GU","Ovary",1,"Asymptomatic radiographic findings only"
"RENAL/GENITOURINARY","Perforation, GU","Ovary",2,"Symptomatic, associated with altered renal/GU function"
"RENAL/GENITOURINARY","Perforation, GU","Ovary",3,"Symptomatic, operative intervention indicated"
"RENAL/GENITOURINARY","Perforation, GU","Ovary",4,"Life-threatening consequences or organ failure; operative intervention requiring organ resection indicated"
"RENAL/GENITOURINARY","Perforation, GU","Ovary",5,"Death"
"RENAL/GENITOURINARY","Perforation, GU","Prostate",1,"Asymptomatic radiographic findings only"
"RENAL/GENITOURINARY","Perforation, GU","Prostate",2,"Symptomatic, associated with altered renal/GU function"
"RENAL/GENITOURINARY","Perforation, GU","Prostate",3,"Symptomatic, operative intervention indicated"
"RENAL/GENITOURINARY","Perforation, GU","Prostate",4,"Life-threatening consequences or organ failure; operative intervention requiring organ resection indicated"
"RENAL/GENITOURINARY","Perforation, GU","Prostate",5,"Death"
"RENAL/GENITOURINARY","Perforation, GU","Spermatic cord",1,"Asymptomatic radiographic findings only"
"RENAL/GENITOURINARY","Perforation, GU","Spermatic cord",2,"Symptomatic, associated with altered renal/GU function"
"RENAL/GENITOURINARY","Perforation, GU","Spermatic cord",3,"Symptomatic, operative intervention indicated"
"RENAL/GENITOURINARY","Perforation, GU","Spermatic cord",4,"Life-threatening consequences or organ failure; operative intervention requiring organ resection indicated"
"RENAL/GENITOURINARY","Perforation, GU","Spermatic cord",5,"Death"
"RENAL/GENITOURINARY","Perforation, GU","Stoma",1,"Asymptomatic radiographic findings only"
"RENAL/GENITOURINARY","Perforation, GU","Stoma",2,"Symptomatic, associated with altered renal/GU function"
